MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       274.45,       279.70,       279.70,       273.00,       274.80,                168654191.25,615796,8716,       287.33,       227.33,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       614.53,       614.54,       617.05,       610.50,       615.13,                  5891530.85,9610,468,       625.74,       465.64,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       735.25,       735.24,       736.99,       726.56,       734.31,                 14526615.75,19869,1201,       840.00,       585.51,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       506.96,       506.96,       506.96,       499.90,       505.18,                  5004562.09,9955,863,       537.63,       450.10,SHARIAH
N,EQ,SILVER,BIRLASLAMC - SILVER,       250.15,       239.70,       239.70,       226.66,       234.09,               2087168236.92,8930189,72386,       371.89,        89.00,PHYSICAL PRICE OF SILVER
N,EQ,SILVER1,KOTAKMAMC - KOTAKSILVE,       240.32,       217.31,       231.82,       217.31,       227.84,                842416160.10,3711197,25422,       388.00,        85.87,KOTAK SILVER ETF
N,EQ,SILVER360,360ONEAMC - SILVER360,       242.56,       234.64,       234.64,       224.66,       230.77,                 38465343.23,166268,3668,       358.00,        78.40,COMMODITY-SILVER
N,EQ,SILVERADD,DSPAMC - DSPSILVETF,       236.57,       234.90,       234.90,       220.10,       226.69,                466095866.17,2069503,18359,       390.00,        84.26,DSP SILVER ETF
N,EQ,SILVERAG,MIRAEAMC - MASILVER,       239.62,       233.65,       233.65,       223.82,       229.08,                491362045.28,2150458,17091,       380.00,        84.55,MIRAE ASSET SILVER ETF
N,EQ,SILVERBEES,NIPPONAMC - NETFSILVER,       236.42,       219.00,       229.20,       218.20,       224.46,              37773092471.68,168889539,664248,       360.00,        77.55,DOMESTIC PRICE OF SILVER- BASED ON LBMA SILVER DAILY SPOT FIXING PRICE
N,EQ,SILVERBETA,UTIAMC-SILVERBETA,       239.80,       237.40,       237.40,       220.00,       226.58,                932191729.72,4133166,25644,       379.66,        85.08,UTI SILVER EXCHANGE TRADED FUND (UTI SILVER ETF)
N,EQ,SILVERBND,BANDHANAMC - SILVERBND,       247.43,       237.99,       241.39,       232.57,       240.47,                119474092.90,500059,3773,       389.00,       180.00,COMMODITY - SILVER
N,EQ,SILVERCASE,ZERODHAAMC - SILVERCASE,        25.33,        24.24,        24.34,        23.51,        23.80,               1083530143.51,45505507,52819,        38.01,         9.00,COMMODITY-SILVER
N,EQ,SILVERIETF,ICICIPRAMC - ICICISILVE,       247.43,       234.88,       239.28,       227.20,       234.44,               4854992367.83,20774089,122452,       373.50,        88.80,DOMESTIC PRICE OF SILVER
N,EQ,SMALL250,MIRAEAMC - SMALL250,        15.94,        16.01,        16.01,        15.62,        15.87,                  5348896.47,339231,690,        18.89,        15.13,NIFTY SMALLCAP 250
N,EQ,SMALLADD,DSPAMC - SMALLADD,        15.95,        16.25,        16.25,        15.70,        15.85,                   462407.49,29330,75,        17.15,        15.15,NIFTY SMALLCAP 250 INDEX
N,EQ,SMALLCAP,MIRAEAMC - SMALLCAP,        42.35,        42.41,        42.50,        41.70,        42.25,                 86070092.92,2048259,5000,        54.50,        37.45,MIRAE ASSET NIFTY SMALLCAP 250 MOMENTUM QUALITY 100 ETF
N,EQ,SML100CASE,ZERODHAAMC - SML100CASE,         9.60,         9.80,         9.80,         9.43,         9.56,                 15116983.98,1590392,1497,        11.08,         9.13,NIFTY SMALLCAP 100 INDEX
N,EQ,SNXT30BEES,NIPPONAMC - SNXT30BEES,        40.60,        40.01,        41.00,        39.75,        40.53,                   246646.36,6098,137,        41.84,        37.03,BSE SENSEX NEXT 30 INDEX
N,EQ,SNXT50BETA,UTIAMC-SNXT50BETA,        92.02,        92.88,        92.88,        90.50,        91.68,                   259668.94,2834,151,       102.25,        73.30,BSE SENSEX NEXT 50
N,EQ,TATAGOLD,TATAAML-TATAGOLD,        14.80,        14.72,        14.77,        14.30,        14.72,               2257437115.94,154364934,164741,        17.70,         7.14,TATA GOLD EXCHANGE TRADED FUND
N,EQ,TATSILV,TATAAML-TATSILV,        24.09,        22.08,        23.45,        22.08,        22.80,               9938148148.57,435212695,400372,        35.10,         8.56,TATA SILVER EXCHANGE TRADED FUND
N,EQ,TECH,BIRLASLAMC - TECH,        39.11,        39.31,        39.31,        38.20,        38.54,                  4232576.54,109930,332,        49.41,        33.41,NIFTY IT TRI INDEX
N,EQ,TNIDETF,TATAAML - TNIDETF,        92.14,        92.16,        93.68,        90.78,        91.58,                  4692596.59,51335,963,       103.26,        76.95,NIFTY INDIA DIGITAL INDEX
N,EQ,TOP100CASE,ZERODHAAMC - TOP100CASE,        10.95,        11.28,        11.28,        10.77,        10.99,                  7846415.11,716588,1472,        11.57,         8.01,ZERODHA NIFTY 100 ETF
N,EQ,TOP10ADD,DSPAMC - TOP10ADD,        97.05,        97.42,        99.40,        96.72,        97.81,                  7492310.48,76764,345,       103.43,        86.50,NIFTY TOP 10 EQUAL WEIGHT INDEX
N,EQ,TOP15IETF,ICICIPRAMC - TOP15IETF,        10.70,        10.96,        10.96,        10.66,        10.78,                   530396.59,49350,183,        11.33,        10.00,NIFTY TOP 15 EQUAL WEIGHT INDEX
N,EQ,TOP20,MIRAEAMC - TOP20,         9.44,         9.46,         9.51,         9.42,         9.50,                   233911.55,24724,77,         9.99,         9.14,NIFTY TOP 20 EQUAL WEIGHT
N,EQ,TWCGOLDETF,WEALTH - TWCGOLDETF,       151.05,       151.05,       159.00,       147.32,       153.52,                 30537254.15,204902,174,       187.98,       130.43,COMMODITY
N,EQ,UNIONGOLD,UNIONAMC - UNIONGOLD,       148.00,       148.00,       155.20,       143.35,       146.45,                 20311039.95,137865,1554,       177.00,        82.00,COMMODITY GOLD
N,EQ,VAL30IETF,ICICIPRAMC - VAL30IETF,        15.80,        15.80,        16.30,        15.65,        15.82,                  5482975.58,348247,529,        17.49,        10.96,NIFTY200 VALUE 30 INDEX
