MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,MOGOLD,MOTILALAMC - MOGOLD,       153.00,       152.00,       152.00,       147.25,       149.55,                 33801322.20,227241,2949,       175.00,        96.30,DOMESTIC PRICE OF PHYSICAL GOLD
N,EQ,MOGSEC,MOTILALAMC - G5,        64.88,        63.64,        63.96,        62.91,        63.20,                  1676186.64,26513,114,        66.15,        57.64,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,MOHEALTH,MOTILALAMC - MOHEALTH,        42.76,        42.72,        42.75,        42.16,        42.65,                  2140316.22,50438,756,        47.57,        37.93,MOTILAL OSWAL S&P BSE HEALTHCARE ETF
N,EQ,MOINFRA,MOTILALAMC - MOINFRA,        59.42,        59.78,        61.70,        59.49,        60.48,                  1327755.24,21975,156,        63.80,        55.26,BSE INDIA INFRASTRUCTURE TOTAL RETURN INDEX
N,EQ,MOIPO,MOTILALAMC - MOIPO,        43.67,        43.52,        43.85,        43.32,        43.84,                    48089.64,1109,13,        53.00,        41.19,BSE SELECT IPO TOTAL RETURN INDEX
N,EQ,MOLOWVOL,MOTILALAMC - MOLOWVOL,        38.27,        38.10,        38.55,        37.99,        38.50,                  7391390.09,194169,51,        39.97,        33.05,NIFTY MIDCAP 100 TRI
N,EQ,MOM100,MOTILAL OS MIDCAP100 ETF,        64.05,        64.69,        64.69,        63.23,        64.02,                 24702084.34,387893,2582,        66.59,        50.30,NIFTY MIDCAP 100
N,EQ,MOM30IETF,ICICIPRAMC - ICICIMOM30,        31.22,        31.23,        31.38,        30.94,        31.30,                 18632290.84,598789,2085,        33.61,        25.00,ICICI PRUDENTIAL NIFTY 200 MOMENTUM 30 ETF
N,EQ,MOM50,MOTILAL OSWAL M50 ETF,       266.95,       265.71,       267.47,       264.67,       267.31,                  2329723.42,8763,118,       279.33,       218.00,NIFTY 50
N,EQ,MOMENTUM,BIRLASLAMC - MOMENTUM,        31.07,        31.23,        31.23,        30.83,        31.11,                   927790.72,29928,252,        33.15,        25.75,ADITYA BIRLA SUN LIFE NIFTY 200 MOMENTUM 30 ETF
N,EQ,MOMENTUM30,KOTAKMAMC - MOMENTUM30,        30.76,        30.67,        30.91,        30.45,        30.86,                   195456.62,6390,54,        37.38,        29.02,NIFTY 200 MOMENTUM 30 INDEX
N,EQ,MOMENTUM50,MOTILALAMC - MOMENTUM50,        51.02,        51.21,        51.30,        50.50,        51.19,                 14663153.25,288646,1576,        56.90,        42.40,NIFTY 500 MOMENTUM 50 TOTAL RETURN INDEX
N,EQ,MOMGF,MOTILALAMC - MOMGF,       154.02,       153.29,       153.29,       152.02,       153.28,                   160340.34,1051,21,       182.16,       139.07,NIFTY INDIA MANUFACTURING TOTAL RETURN INDEX
N,EQ,MOMIDMTM,MOTILALAMC - MOMIDMTM,        62.75,        62.95,        63.00,        62.01,        62.92,                  3743765.53,59676,275,        66.73,        58.75,NIFTY MIDCAP 150 MOMENTUM 50 TOTAL RETURN INDEX
N,EQ,MOMNC,MOTILALAMC - MOMNC,        30.58,        30.58,        30.91,        30.46,        30.85,                    73748.99,2392,13,        35.80,        28.70,NIFTY MNC ETF TOTAL RETURN INDEX
N,EQ,MOMOMENTUM,MOTILALAMC - MOMOMENTUM,        62.29,        62.59,        62.59,        61.51,        62.45,                  4433893.37,71539,480,        66.37,        51.21,NIFTY 200 MOMENTUM 30 TOTAL RETURN INDEX
N,EQ,MON100,MOTILAL OS NASDAQ100 ETF,       225.10,       226.00,       229.00,       222.00,       227.70,                206478378.75,916340,18026,       258.80,       159.30,NASDAQ100
N,EQ,MON50EQUAL,MOTILALAMC - MON50EQUAL,        33.56,        33.45,        33.47,        33.23,        33.47,                    48483.20,1455,27,        34.85,        29.78,NIFTY 50 EQUAL WEIGHT TOTAL RETURN INDEX
N,EQ,MONEXT50,MOTILALAMC - MONEXT50,        68.46,        68.80,        68.80,        67.87,        68.50,                   228265.28,3344,62,        72.30,        63.54,NIFTY NEXT 50 TOTAL RETURN INDEX
N,EQ,MONIFTY100,MOTILALAMC - MONIFTY100,        26.34,        26.30,        26.42,        26.20,        26.36,                  1099087.11,41756,55,        27.97,        25.02,NIFTY 100 TOTAL RETURN INDEX
N,EQ,MONIFTY500,MOTILALAMC - MONIFTY500,        23.91,        24.02,        24.02,        23.70,        23.89,                  8531187.69,358264,1325,        24.71,        19.50,MOTILAL OSWAL NIFTY 500 ETF
N,EQ,MONQ50,MOTILALAMC - MONQ50,        98.32,        98.69,        98.69,        97.00,        97.71,                  8449152.39,86619,2056,       104.31,        61.31,NASDAQ Q-50 TOTAL RETURN INDEX
N,EQ,MOPSE,MOTILALAMC - MOPSE,       104.28,       103.56,       105.87,       103.43,       105.15,                   189371.37,1815,25,       114.70,        92.55,NIFTY PSE TOTAL RETURN INDEX
N,EQ,MOQUALITY,MOTILALAMC - MOQUALITY,       196.90,       195.88,       197.03,       194.19,       196.84,                    52943.52,271,33,       202.28,       162.15,MOTILAL OSWAL S&P BSE QUALITY ETF
N,EQ,MOREALTY,MOTILALAMC - MOREALTY,        81.82,        81.99,        82.48,        80.64,        82.31,                 40743704.31,498371,2741,       107.02,        74.39,MOTILAL OSWAL NIFTY REALTY ETF
N,EQ,MOSERVICE,MOTILALAMC - MOSERVICE,        33.31,        33.26,        33.51,        33.25,        33.50,                    72029.91,2163,14,        35.37,        31.88,NIFTY SERVICES SECTOR TOTAL RETURN INDEX
N,EQ,MOSILVER,MOTILALAMC - MOSILVER,       243.46,       236.00,       238.00,       225.00,       236.40,                 89988565.91,386715,5866,       385.00,       112.32,DOMESTIC PRICE OF PHYSICAL SILVER
N,EQ,MOSMALL250,MOTILALAMC - MOSMALL250,        16.02,        16.15,        19.38,        15.75,        15.95,                 44161137.55,2718501,3433,        19.38,        13.22,MOTILAL OSWAL NIFTY SMALLCAP 250 ETF
N,EQ,MOTOUR,MOTILALAMC - MOTOUR,        80.36,        80.19,        80.19,        79.15,        79.92,                   544031.74,6838,200,        97.20,        75.00,NIFTY INDIA TOURISM TOTAL RETURN INDEX
N,EQ,MOVALUE,MOTILALAMC - MOVALUE,       122.11,       119.05,       122.95,       119.05,       122.43,                 41064063.88,336824,1056,       123.24,        85.91,MOTILAL OSWAL S&P BSE ENHANCED VALUE ETF
N,EQ,MSCIADD,DSPAMC - MSCIADD,        30.35,        30.26,        30.28,        30.08,        30.21,                     9576.59,317,12,        33.82,        29.20,MSCI INDIA INDEX
N,EQ,MSCIINDIA,KOTAKMAMC - MSCIINDIA,        30.23,        30.67,        30.68,        30.34,        30.60,                 91364764.09,2985786,118,        32.14,        25.60,MSCI INDIA INDEX
N,EQ,MULTICAP,MIRAEAMC - MULTICAP,        16.18,        16.27,        16.27,        16.05,        16.21,                  1766826.33,109618,560,        17.03,        13.43,NIFTY500 MULTICAP 50:25:25 INDEX
N,EQ,NETF,TATAAML - NETF,       278.17,       285.12,       285.12,       275.29,       277.29,                   342549.30,1237,167,       292.90,       227.05,TATA NIFTY 50 EXCHANGE TRADED FUND
N,EQ,NEXT30ADD,DSPAMC - NEXT30ADD,        40.69,        40.47,        40.69,        40.31,        40.69,                   104236.59,2577,54,        41.87,        32.27,BSE SENSEX NEXT 30 INDEX
N,EQ,NEXT50,MIRAEAMC - MANXT50,       707.04,       707.04,       709.78,       699.23,       708.37,                  5974073.70,8483,467,       732.49,       573.45,NIFTY NEXT 50
N,EQ,NEXT50ADD,DSPAMC - NEXT50ADD,        68.88,        68.37,        69.21,        68.19,        68.88,                    13600.64,198,12,        81.00,        65.53,NIFTY NEXT 50 TRI
N,EQ,NEXT50BETA,UTIAMC-NEXT50BETA,        74.07,        74.29,        75.40,        73.26,        74.32,                  2783240.06,37727,645,        79.10,        59.90,NIFTY NEXT 50
