MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        70.65,        70.00,        70.00,        70.00,        70.00,                    56000.00,800, ,        96.75,        64.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        72.00,        72.00,        72.00,        72.00,        72.00,                   108000.00,1500, ,        89.60,        56.50
N,SM,DANISH,DANISH POWER LIMITED,       618.80,       615.00,       645.00,       613.15,       625.85,                 17288437.50,27450, ,      1189.00,       582.00
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        45.00,        45.00,        45.00,        43.00,        43.00,                   880100.00,20000, ,        66.00,        40.10
N,SM,DCG,DCG CABLES & WIRES LTD,        60.00,        60.00,        60.00,        60.00,        60.00,                   144000.00,2400, ,        90.80,        53.90
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       142.10,       143.00,       145.00,       140.25,       143.25,                  2414010.00,16800, ,       374.80,       132.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        23.80,        22.60,        22.60,        22.50,        22.55,                    54120.00,2400, ,        64.50,        20.15
N,SM,DEEM,DEEM ROLL TECH LIMITED,        42.80,        39.70,        39.70,        39.70,        39.70,                   198500.00,5000, ,        76.45,        38.35
N,SM,DELAPLEX,DELAPLEX LIMITED,       108.60,       107.25,       109.00,       106.00,       108.00,                   514860.00,4800, ,       220.00,       102.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        39.80,        38.20,        39.05,        38.20,        39.00,                   386800.00,10000, ,       122.95,        37.10
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,       119.00,       124.30,       124.30,       124.30,       124.30,                   186450.00,1500, ,       143.00,        67.80
N,SM,DHARARAIL,DHARA RAIL PROJECTS LTD,       119.85,       121.00,       121.00,       118.25,       118.40,                  1315150.00,11000, ,       157.50,       103.20
G,ST,DHARIWAL,DHARIWALCORP LIMITED,       386.00,        78.70,        78.70,        78.70,        78.70,                   236100.00,3000,XO,       413.00,        78.70
N,SM,DTL,DIENSTEN TECH LIMITED,       128.00,       128.00,       128.00,       128.00,       128.00,                   153600.00,1200, ,       178.00,       105.00
