MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1098.73,      1105.90,      1105.90,      1100.00,      1100.10,                    60505.90,55, ,3,      1210.00,      1074.00
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,      1070.00,      1070.00,      1070.00,      1070.00,      1070.00,                   107000.00,100, ,1,      1156.05,      1003.75
N,NJ,848AEL29,AEL 8.48% 2029 SR III,      1009.56,      1009.00,      1009.00,      1009.00,      1009.00,                    91819.00,91, ,1,      1020.00,       984.85
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       996.00,       993.00,       993.00,       993.00,       993.00,                    46671.00,47, ,1,      1189.00,       884.00
N,NK,750IRFC35,TAX FREE7.50% SR.104 A,      1161.73,      1183.99,      1183.99,      1183.99,      1183.99,                    46175.61,39, ,1,      1269.99,      1132.10
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1030.00,      1038.00,      1038.00,      1038.00,      1038.00,                   103800.00,100, ,2,      1098.00,       878.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1024.00,      1005.30,      1025.00,      1005.30,      1019.00,                   674406.90,665, ,9,      1115.00,       980.00
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       987.52,       993.00,       993.00,       988.10,       988.10,                   290114.40,293, ,12,       999.89,       889.00
N,NM,1030SFIL28,SEC RE NCD 10.30% SR.VII,       515.80,       515.80,       515.80,       515.80,       515.80,                    10316.00,20, ,2,      1001.00,       515.80
N,NM,862AEL31,AEL 8.62% 2031 SR VI,      1007.90,      1007.00,      1007.00,      1000.00,      1000.00,                   105341.25,105, ,7,      1014.30,       998.00
N,NN,729IRFC26,TAX FREE  7.29% SR. 107A,      1023.49,      1023.49,      1023.49,      1020.33,      1020.33,                   241821.37,237, ,6,      1079.90,       980.09
N,NN,865LTF26,SERENCD 8.65% SR.VI OP12,      1011.20,      1011.25,      1011.25,      1011.25,      1011.25,                    50562.50,50, ,1,      1156.40,      1005.00
N,NN,890AEL31,AEL 8.90% 2031 SR VII,      1003.00,      1002.00,      1010.00,      1000.00,      1009.26,                  2332080.65,2324, ,36,      1010.00,       994.00
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1110.00,      1110.01,      1110.01,      1106.11,      1108.00,                  1879622.76,1698, ,22,      1170.00,      1085.20
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1019.98,      1019.00,      1019.00,      1015.00,      1015.00,                    62155.00,61, ,3,      1113.02,       980.00
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1029.70,      1005.00,      1015.00,      1003.50,      1015.00,                   149059.00,148, ,4,      1340.00,       890.30
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       982.00,       982.35,       986.50,       982.35,       986.50,                   645977.60,657, ,5,       995.00,       861.00
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,       992.50,       992.00,       992.50,       992.00,       992.50,                    62513.50,63, ,3,      1095.00,       922.60
N,NZ,935IIFL28,IIFL 9.35% TR I SR V,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    22000.00,22, ,2,      1260.00,       953.00
N,Y1,IIFLZC28B,SEC RE NCD 0% SR.VII,      1176.00,      1185.50,      1185.50,      1185.50,      1185.50,                    11855.00,10, ,1,      1207.83,      1000.75
N,Y8,948SCL26B,SEC RE NCD 9.48% SR V,       988.65,       988.65,       988.65,       988.65,       988.65,                   197730.00,200, ,1,       988.65,       910.20
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1055.00,      1038.00,      1038.00,      1038.00,      1038.00,                    20760.00,20, ,2,      1100.00,      1000.00
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1078.60,      1078.05,      1078.05,      1078.05,      1078.05,                     3234.15,3, ,1,      1264.48,      1023.00
N,YR,925SCL27,SEC RE NCD 9.25% SR.VII,      1047.00,      1047.00,      1047.00,      1047.00,      1047.00,                    59679.00,57, ,1,      1051.15,       932.00
N,YT,889SCL27,SEC RE NCD 8.89% SR.VIII,       998.00,       970.00,       980.00,       970.00,       980.00,                   101900.00,105, ,3,      1142.00,       909.00
N,YW,957ICCL25,SEC RED NCD 9.30% SR. II,      1050.76,      1069.00,      1079.00,      1069.00,      1079.00,                    53760.00,50, ,4,      1100.00,      1020.00
N,YY,1015SCFL29,SEC RE NCD 10.15% SR VII,      1000.00,      1035.00,      1035.00,      1035.00,      1035.00,                    20700.00,20, ,1,      1060.00,       932.00
N,Z5,931SFL26,SEC RED NCD 9.31% SR.III,      1030.00,      1020.00,      1020.00,      1020.00,      1020.00,                     1020.00,1, ,1,      1072.00,       875.20
N,Z8,1025SCL34,SEC RE NCD 10.25% SR XII,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    15000.00,15, ,1,      1020.00,       901.50
N,ZC,SFLZC26A,SEC RED NCD SR.X,      1828.00,      1828.00,      1828.00,      1828.00,      1828.00,                    18280.00,10, ,1,      1828.00,      1601.75
N,ZF,875SFL27,SEC RED NCD 8.75% SR.III,      1095.75,      1095.00,      1095.00,      1095.00,      1095.00,                     5475.00,5, ,1,      1096.75,       974.53
N,ZG,94SCL27,SEC RE NCD 9.4% SR IV,       855.62,       875.00,       875.00,       875.00,       875.00,                   700000.00,800, ,4,       970.00,       811.25
N,ZT,1025SCL34A,SEC RE NCD 10.25% SR XII,      1000.20,       951.10,       951.10,       951.10,       951.10,                    11413.20,12, ,1,      1100.00,       827.00
N,ZY,894SCL27,SEC RE NCD 9.80% SR.VII,       600.00,       720.00,       720.00,       720.00,       720.00,                      720.00,1, ,1,       910.00,       580.00
